protein_id,all_count,valid_count,total_unique_count,intersection_count
EOMES,3693415,3693017,618354,1
ERF,1929724,1929639,1809313,961
ERG,2295758,2295364,880248,425
ESR1,3436775,3436524,2592653,1423
ESRRA,3580772,3580401,1172855,0
ESRRB,9432,9432,8861,117
ESRRG,1124410,1124233,660644,277
ESX1,1555134,1552977,565743,269
ETS1,6160344,6159398,1836126,407
ETV1,970707,970531,754508,231
ETV2,0,0,0,0
ETV3,2237926,2237827,2115609,959
ETV4,832793,817970,713860,242
ETV5,3268139,3267446,930943,266
ETV6,3164080,3163482,1132351,667
EVX1,48043,48024,47613,13
EVX2,933810,933644,616217,258
Egr1_E410D_FARSDERtoFARSDDR,0,0,0,0
Egr3,933330,933116,357340,192
Elf5,2608566,2607951,338968,118
Elk3,69843,69815,63086,17
En2,3526979,3526263,3380531,1844
Esrra,186667,186616,96972,97
FEV,987560,987340,693809,191
FIGLA,18,18,15,0
FLI1,2449191,2448989,940912,548
FOXB1,2639192,2638515,1391074,119
FOXC1,2299673,2299436,209997,0
FOXC2,2384047,2383758,757585,0
FOXD2,792204,792015,318105,236
FOXD3,26754,26743,16140,20
FOXG1,199395,199317,185097,135
FOXI1,1860195,1859787,1302935,752
FOXJ2,1957355,1957255,459520,541
FOXJ3,370014,369494,330145,191
FOXK1,1873,1873,1628,28
FOXL1,1328335,1328269,603290,1131
FOXO1,2157367,2156935,1190051,688
FOXO3,436433,436412,397097,254
FOXO4,735665,731660,319618,197
FOXO6,5451475,5450900,3831773,3
FOXP3,1012757,1012418,332037,133
Foxc1,804821,804741,729474,9718
Foxg1,625183,625075,242060,165
Foxj3,2462798,2462434,1194411,839
Foxk1,1091354,1091161,820358,1169
GABPA,798785,798660,753461,383
GATA3,2145194,1970383,939699,678
GATA4,3037863,3036930,1290798,541
GATA5,854668,854533,587875,325
GBX1,1022498,1022283,53501,28
GBX2,1801497,1785688,957548,446
GCM1,3366067,3361083,1604583,669
GCM2,295454,295403,167846,94
GLI2,1363255,1362731,1052423,31
GLIS1,0,0,0,0
GLIS2,2137802,2137079,761541,382
GLIS3,0,0,0,0
GMEB2,495877,495798,359031,181
GRHL1,4389583,4389303,1666648,970
GSC,1286801,1279632,754491,447
GSC2,2098115,2097726,1557683,745
GSX1,333361,333243,71199,36
GSX2,2510362,2509461,585305,292
Gbx1,3691915,3691732,701172,542
Gbx2,1692900,1692521,789716,396
HES5,192702,192664,66241,35
HES7,964,964,539,15
HESX1,323067,322973,102413,58
HEY1,681920,681808,535011,290
HEY2,5111897,5110471,3082313,1443
HIC2,150762,150694,131242,117
HINFP1,9816102,9815355,1202813,661
HLF,463420,462757,333250,233
HMBOX1,781222,781040,302631,239
HMX1,550837,550695,399101,220
HMX2,1934452,1933766,337189,179
HMX3,3149040,3148756,2374336,1
HNF1A,2094488,2094313,576621,271
HNF1B,1666271,1666170,487537,227
HNF4A,2641654,2641028,1631267,862
